"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\constants\types.dart", "Dart", 1, 0, 0, 1
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\models\models.dart", "Dart", 94, 1, 7, 102
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\modules\api_requester.dart", "Dart", 55, 0, 4, 59
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\modules\cache\cache_data.dart", "Dart", 9, 0, 3, 12
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\modules\cache\cacheholder.dart", "Dart", 26, 1, 3, 30
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\modules\preferences_shareholder.dart", "Dart", 92, 2, 12, 106
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\bookmarks\bookmarks_controller.dart", "Dart", 9, 0, 3, 12
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\bookmarks\bookmarks_page.dart", "Dart", 72, 0, 3, 75
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\bookmarks\sections\navbar.dart", "Dart", 31, 0, 3, 34
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\home_data_controller.dart", "Dart", 10, 0, 4, 14
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\home_page.dart", "Dart", 47, -3, 0, 44
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\sections\imdb_lists\lists.dart", "Dart", 19, -2, 0, 17
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\sections\imdb_lists\pages\top_TVs.dart", "Dart", 64, 0, 3, 67
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\sections\imdb_lists\pages\top_movies.dart", "Dart", 64, 0, 3, 67
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\sections\popular\popular_movies.dart", "Dart", -25, 0, -3, -28
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\sections\popular\popular_tv.dart", "Dart", -24, 0, -3, -27
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\sections\populars\commons.dart", "Dart", 23, 0, 2, 25
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\sections\populars\popular_movies\all_popular_movies.dart", "Dart", 38, 0, 4, 42
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\sections\populars\popular_movies\home_popular_movies.dart", "Dart", 29, 0, 3, 32
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\sections\populars\popular_tvs\all_popular_tvs.dart", "Dart", 38, 0, 3, 41
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\home\sections\populars\popular_tvs\popular_tvs.dart", "Dart", 29, 0, 3, 32
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\main_page.dart", "Dart", -6, 0, 0, -6
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\profile\profile_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\search\search_bar\search_bar.dart", "Dart", 14, 3, 1, 18
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\search\search_bar\search_bar_controller.dart", "Dart", 11, 0, 1, 12
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\main\search\search_bar\voice_search.dart", "Dart", 102, 6, 6, 114
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\search_show_box.dart", "Dart", -98, 0, -3, -101
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_box.dart", "Dart", -110, 0, -3, -113
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_box\bookmarks_show_box.dart", "Dart", 177, 0, 4, 181
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_box\episode_show_box.dart", "Dart", 157, 0, 4, 161
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_box\imdb_list_show_box.dart", "Dart", 142, 0, 4, 146
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_box\search_show_box.dart", "Dart", 92, 0, 3, 95
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_box\show_box.dart", "Dart", 102, 0, 3, 105
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_box\show_box_common.dart", "Dart", 11, 0, 2, 13
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\controller.dart", "Dart", -14, 0, -4, -18
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\get_show_info.dart", "Dart", 24, 0, 2, 26
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\box_office.dart", "Dart", 65, 0, 5, 70
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\cast.dart", "Dart", -2, 0, 0, -2
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\episode_guide.dart", "Dart", 71, 0, 3, 74
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\episode_guide\episode_guide_page.dart", "Dart", 109, 0, 5, 114
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\episode_guide\season_episodes_list.dart", "Dart", 19, 0, 3, 22
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\episode_guide\season_page.dart", "Dart", 32, 0, 3, 35
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\keywords.dart", "Dart", 51, 0, 3, 54
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\main_info.dart", "Dart", 8, 0, 0, 8
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\more_info.dart", "Dart", 12, 0, -1, 11
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\navbar.dart", "Dart", 33, -1, 2, 34
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\rating.dart", "Dart", 15, 0, 0, 15
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\sections\similars.dart", "Dart", 6, 0, 0, 6
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\show\show_page\show_page.dart", "Dart", 26, 0, 3, 29
"c:\Users\MasterMind\Erfan\FlutterProjects\movielab\lib\pages\splash\splash_screen.dart", "Dart", 6, -1, 0, 5
"Total", "-", 1767, 6, 106, 1879